,GDP
199701,1146254.0
199702,1153493.0
199703,1153375.0
199704,1161196.0
199705,1165328.0
199706,1167533.0
199707,1180084.0
199708,1181545.0
199709,1183552.0
199710,1188123.0
199711,1189010.0
199712,1199780.0
199801,1194652.0
199802,1206119.0
199803,1210426.0
199804,1211089.0
199805,1208910.0
199806,1208629.0
199807,1208265.0
199808,1219916.0
199809,1223880.0
199810,1229462.0
199811,1232739.0
199812,1244188.0
199901,1248407.0
199902,1254446.0
199903,1254755.0
199904,1263262.0
199905,1265346.0
199906,1274003.0
199907,1280993.0
199908,1287461.0
199909,1295922.0
199910,1299607.0
199911,1310326.0
199912,1318934.0
200001,1325658.0
200002,1325888.0
200003,1336931.0
200004,1335504.0
200005,1343064.0
200006,1348065.0
200007,1351075.0
200008,1356048.0
200009,1358502.0
200010,1361067.0
200011,1362013.0
200012,1365443.0
200101,1365514.0
200102,1365069.0
200103,1365858.0
200104,1364619.0
200105,1370407.0
200106,1369240.0
200107,1367204.0
200108,1371749.0
200109,1364366.0
200110,1370585.0
200111,1379396.0
200112,1377902.0
200201,1392802.0
200202,1400429.0
200203,1399019.0
200204,1408942.0
200205,1411041.0
200206,1412654.0
200207,1418178.0
200208,1423503.0
200209,1420254.0
200210,1428810.0
200211,1428139.0
200212,1423817.0
200301,1431160.0
200302,1434888.0
200303,1433364.0
200304,1428575.0
200305,1432670.0
200306,1436792.0
200307,1444125.0
200308,1430151.0
200309,1447621.0
200310,1453840.0
200311,1455337.0
200312,1461488.0
200401,1464152.0
200402,1463305.0
200403,1476416.0
200404,1480256.0
200405,1481764.0
200406,1489057.0
200407,1490489.0
200408,1496855.0
200409,1501096.0
200410,1501618.0
200411,1507285.0
200412,1507620.0
200501,1514960.0
200502,1516009.0
200503,1510876.0
200504,1522079.0
200505,1528603.0
200506,1533199.0
200507,1537159.0
200508,1542983.0
200509,1544269.0
200510,1549474.0
200511,1557964.0
200512,1566198.0
200601,1570036.0
200602,1573552.0
200603,1577153.0
200604,1577442.0
200605,1578059.0
200606,1575416.0
200607,1578273.0
200608,1579408.0
200609,1577137.0
200610,1579661.0
200611,1583186.0
200612,1593220.0
200701,1589916.0
200702,1597824.0
200703,1601283.0
200704,1603425.0
200705,1610464.0
200706,1615014.0
200707,1614681.0
200708,1619358.0
200709,1616522.0
200710,1617956.0
200711,1619351.0
200712,1613074.0
200801,1619678.0
200802,1616737.0
200803,1619632.0
200804,1623011.0
200805,1622950.0
200806,1626157.0
200807,1633235.0
200808,1631956.0
200809,1632320.0
200810,1630551.0
200811,1614127.0
200812,1591987.0
200901,1584341.0
200902,1576119.0
200903,1563343.0
200904,1558296.0
200905,1556689.0
200906,1558532.0
200907,1561083.0
200908,1560446.0
200909,1572192.0
200910,1573879.0
200911,1583102.0
200912,1587706.0
201001,1597519.0
201002,1605865.0
201003,1613597.0
201004,1611635.0
201005,1618686.0
201006,1622883.0
201007,1625143.0
201008,1630031.0
201009,1629843.0
201010,1638232.0
201011,1645952.0
201012,1657377.0
201101,1662768.0
201102,1659773.0
201103,1664906.0
201104,1665169.0
201105,1661580.0
201106,1668949.0
201107,1680498.0
201108,1689080.0
201109,1693895.0
201110,1693809.0
201111,1695694.0
201112,1703826.0
201201,1702312.0
201202,1697912.0
201203,1702210.0
201204,1708110.0
201205,1710842.0
201206,1711716.0
201207,1715089.0
201208,1712835.0
201209,1712611.0
201210,1711824.0
201211,1719965.0
201212,1719763.0
201301,1729586.0
201302,1734805.0
201303,1740839.0
201304,1743937.0
201305,1748724.0
201306,1742396.0
201307,1752447.0
201308,1760130.0
201309,1766098.0
201310,1775606.0
201311,1779954.0
201312,1772541.0
201401,1773250.0
201402,1782226.0
201403,1787024.0
201404,1790684.0
201405,1802034.0
201406,1810319.0
201407,1812914.0
201408,1809135.0
201409,1816399.0
201410,1821619.0
201411,1822817.0
201412,1825584.0
201501,1817974.0
201502,1815506.0
201503,1814460.0
201504,1813921.0
201505,1812920.0
201506,1817855.0
201507,1822436.0
201508,1826294.0
201509,1818765.0
201510,1820488.0
201511,1824776.0
201512,1826829.0
201601,1837860.0
201602,1832584.0
201603,1825855.0
201604,1830002.0
201605,1819666.0
201606,1828411.0
201607,1839206.0
201608,1843452.0
201609,1848118.0
201610,1847038.0
201611,1853836.0
201612,1858876.0
201701,1868964.0
201702,1873773.0
201703,1881584.0
201704,1888758.0
201705,1896042.0
201706,1899612.0
201707,1900773.0
201708,1899358.0
201709,1902497.0
201710,1905137.0
201711,1913640.0
201712,1920686.0
201801,1919623.0
201802,1927189.0
201803,1932480.0
201804,1932577.0
201805,1944258.0
201806,1946207.0
201807,1952354.0
201808,1954079.0
201809,1955253.0
201810,1961308.0
201811,1957862.0
201812,1956990.0
201901,1958988.0
201902,1954720.0
201903,1967722.0
201904,1976034.0
201905,1981882.0
201906,1986301.0
201907,1986641.0
201908,1985761.0
201909,1987927.0
201910,1989460.0
201911,1990238.0
201912,1995370.0
